date,length_minutes,fitness_discipline,type,title,total_output,avg_watts,avg_resistance,avg_cadence_rpm,avg_speed_kph,distance_km,avg_heartrate
2021-04-01,30,Cycling,Music,30 min 2000s Pop Ride,171,96,45%,58,22.39,11.06,137
2021-04-03,15,Cycling,Music,15 min 90s Ride,94,104,43%,67,24.37,6.1,142
2021-04-04,45,Cycling,Music,45 min Pop Ride,241,89,39%,69,22.68,17.01,148
2021-04-05,30,Cycling,Music,30 min Dance Music Ride,162,90,42%,64,22.58,11.3,143
2021-04-06,30,Cycling,Music,30 min Little Mix Ride,171,95,46%,57,22.53,11.27,148
2021-04-07,30,Cycling,Music,30 min 2000s Pop Ride,166,92,44%,60,22.74,11.36,145
2021-04-09,30,Cycling,Music,30 min 2000s Ride,185,103,45%,62,24.59,12.3,145
2021-04-10,20,Cycling,Music,20 min 90s Ride,112,93,38%,76,24.41,8.14,140
2021-04-11,30,Cycling,Music,30 min 2010s Ride,187,104,43%,68,25.28,12.65,147
2021-04-12,45,Cycling,Music,45 min 2010s Ride,262,97,43%,64,23.77,17.83,144
2021-04-16,45,Cycling,Music,45 min 2010s Ride,210,78,39%,67,22.11,16.59,128
2021-04-18,20,Cycling,Music,20 min 2000s Pop Ride,111,93,46%,58,23.53,7.84,136
2021-04-20,30,Cycling,Music,30 min Pop Ride,178,99,45%,60,23.29,11.65,144
2021-04-22,45,Cycling,Music,45 min 2010s Ride,214,79,39%,66,21.45,16.09,152
2021-04-22,30,Cycling,Music,30 min 2010s Ride,160,89,42%,63,22.14,11.07,148
2021-04-24,30,Cycling,Music,30 min 2010s Ride,164,91,44%,58,21.77,10.9,139
2021-04-25,45,Cycling,Music,45 min Pop Ride,239,89,42%,60,21.81,16.37,141
2021-04-27,45,Cycling,Music,45 min Pop Ride,234,87,44%,56,21.65,16.24,140
2021-04-29,45,Cycling,Music,45 min Pop Ride,245,91,44%,61,22.66,16.99,153
2021-04-30,30,Cycling,Music,30 min Pop Ride,164,91,40%,70,23.63,11.81,144
2021-05-02,30,Cycling,Music,30 min 2010s Ride,171,95,43%,61,22.88,11.44,152
2021-05-02,5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,18,60,27%,91,19.79,1.67,137
2021-05-02,30,Cycling,Music,30 min The Weeknd Ride,150,83,38%,72,22.06,11.04,144
2021-05-04,30,Cycling,Theme,30 min Feel Good Ride,175,97,44%,64,24.45,12.23,143
2021-05-06,30,Cycling,Theme,30 min Feel Good Ride,170,95,40%,71,24.37,12.07,152
2021-05-08,30,Cycling,Music,30 min 2010s Ride,166,92,40%,71,23.43,11.72,148
2021-05-10,30,Cycling,Music,30 min 2010s Ride,162,90,45%,57,21.68,10.85,138
2021-05-11,30,Cycling,Music,30 min Pop Ride,177,98,43%,62,22.76,11.38,143
2021-05-12,45,Cycling,Music,45 min Pop Ride,242,89,46%,56,21.13,15.85,142
2021-05-13,20,Cycling,Theme,20 min APIHM Celebration Ride,114,95,44%,60,23.09,7.71,133
2021-05-13,20,Cycling,Music,20 min Pop Ride,110,92,39%,75,23.87,7.95,145
2021-05-18,30,Cycling,Music,30 min 90s Ride,136,76,42%,57,21.03,10.53,133
2021-05-18,30,Cycling,Music,30 min EDM Ride,238,132,45%,73,28.73,14.37,134.31
2021-05-19,30,Cycling,Music,30 min EDM Ride,167,93,41%,70,24.04,12.02,143
2021-05-20,30,Cycling,Music,30 min 2010s Ride,162,90,44%,62,23.09,11.56,139
2021-05-22,45,Cycling,Music,45 min Pop Ride,239,89,44%,61,22.27,16.7,150
2021-05-24,30,Cycling,Beginner,30 min Advanced Beginner Ride,146,81,38%,68,22.64,11.33,131
2021-06-14,30,Cycling,Music,30 min 2010s Ride,165,92,40%,54,22.34,11.17,147
2021-06-15,30,Cycling,Music,30 min 2010s Ride,154,86,38%,55,21.42,10.72,139
2021-06-19,30,Cycling,Music,30 min 2010s Ride,170,94,35%,67,23.79,11.89,145
2021-06-24,20,Cycling,Music,20 min Pop Ride,110,92,38%,58,22.93,7.64,142
2021-06-25,20,Cycling,Music,20 min Pop Ride,104,87,37%,59,23.01,7.68,137
2021-06-27,20,Cycling,Music,20 min New Tracks Ride,103,86,40%,53,22,7.34,132
2021-06-28,20,Cycling,Music,20 min Hip Hop Ride,101,84,37%,59,22.21,7.42,135
2021-08-17,20,Cycling,Music,20 min 90s Pop Ride,103,86,37%,56,22.39,7.47,144
2021-08-25,30,Cycling,Music,30 min 2010s Ride,161,90,38%,55,22.79,11.39,145
2021-09-02,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,100,83,28%,74,23.54,7.85,149
2021-09-02,15,Cycling,Power Zone,15 min Intro to Power Zone Ride,69,77,28%,73,22.45,5.62,148
2021-09-02,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,15,49,21%,78,18.52,1.56,136
2021-09-03,10,Cycling,Power Zone,10 min FTP Warm Up Ride,53,88,31%,68,23.24,3.88,141
2021-09-03,20,Cycling,Power Zone,20 min FTP Test Ride,112,93,31%,70,24,8,154
2021-09-12,30,Cycling,Power Zone,30 min Power Zone Hip Hop Ride,172,95,37%,60,24.22,12.12,143
2021-09-12,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,18,61,21%,87,20.76,1.72,137
2021-09-26,45,Cycling,Power Zone,45 min Power Zone Ride,229,85,36%,75,23.06,17.3,151
2021-09-26,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,19,62,28%,85,20.41,1.71,150
2021-12-20,15,Cycling,Power Zone,15 min Intro to Power Zone Ride,61,67,34%,74,21.5,5.38,124
2021-12-20,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,74,62,33%,72,20.18,6.73,135
2021-12-20,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,18,60,30%,81,20.25,1.69,138
2022-01-05,15,Cycling,Power Zone,15 min Intro to Power Zone Ride,73,82,35%,78,23.59,5.91,131
2022-01-05,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,87,73,32%,83,22.45,7.48,142
2022-01-05,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,17,55,30%,78,19.34,1.64,128
2022-01-06,10,Cycling,Power Zone,10 min FTP Warm Up Ride,45,74,32%,81,21.98,3.67,131
2022-01-06,20,Cycling,Power Zone,20 min FTP Test Ride,95,79,36%,74,23.11,7.71,150
2022-01-06,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,13,44,28%,74,17.36,1.46,135
2022-01-07,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,120,67,32%,79,21.68,10.85,133
2022-01-08,20,Cycling,Low Impact,20 min Low Impact Ride,78,65,34%,73,21.57,7.19,129
2022-01-10,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,132,73,31%,84,22.47,11.23,148
2022-01-12,30,Cycling,Power Zone,30 min Power Zone Hip Hop Ride,131,73,30%,86,22.31,11.15,145
2022-01-14,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,188,70,30%,90,21.9,16.42,149
2022-01-14,20,Cycling,Power Zone,20 min FTP Test Ride,112,93,37%,80,25.12,8.37,168
2022-01-15,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,130,72,31%,89,22.37,11.18,146
2022-01-18,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,167,62,29%,84,20.41,15.32,136
2022-01-20,30,Cycling,Power Zone,30 min Power Zone Ride,132,73,30%,87,22.16,11.09,139
2022-01-23,45,Cycling,Power Zone,45 min Power Zone Ride,210,78,32%,87,23.01,17.27,152
2022-01-24,30,Cycling,Power Zone,30 min Power Zone Endurance 80s Ride,128,71,30%,89,22.34,11.17,130
2022-01-27,45,Cycling,Power Zone,45 min Power Zone Ride,211,78,32%,87,23.01,17.27,151
2022-01-29,45,Cycling,Power Zone,45 min Power Zone Ride,212,79,32%,86,23.17,17.38,148
2022-01-30,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,251,70,31%,86,22.21,22.21,145
2022-02-01,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,135,75,30%,90,22.97,11.49,134
2022-02-01,30,Cycling,Theme,30 min AT's Ride to Greatness,4,72,29%,94,22.66,0.32,103.85
2022-02-02,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,197,73,32%,85,22.64,16.99,138
2022-02-07,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,227,84,34%,83,23.91,17.93,150
2022-02-10,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,219,81,33%,86,23.63,17.72,151
2022-02-11,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,1,26,21%,69,12.89,0.1,96
2022-02-11,20,Cycling,Power Zone,20 min FTP Test Ride,112,93,33%,89,24.61,8.21,144
2022-02-11,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,178,66,30%,86,21.6,16.21,147
2022-02-12,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,213,79,31%,89,23.4,17.56,151
2022-02-15,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,288,80,31%,89,23.53,23.53,140
2022-02-17,20,Cycling,Power Zone,20 min FTP Test Ride,116,96,37%,80,25.41,8.47,136
2022-02-19,45,Cycling,Power Zone,45 min Power Zone Ride,216,80,33%,84,23.43,17.57,149
2022-02-21,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,286,79,34%,87,23.46,23.48,148
2022-02-23,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,222,82,34%,91,23.82,17.86,139
2022-02-25,45,Cycling,Power Zone,45 min Power Zone Ride,216,80,34%,89,23.4,17.56,140
2022-02-25,20,Cycling,Power Zone,20 min FTP Test Ride,114,95,38%,86,25.17,8.4,147
2022-02-27,45,Cycling,Power Zone,45 min Power Zone Ride,219,81,33%,94,23.51,17.64,149
2022-03-01,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,310,86,36%,88,24.19,24.19,148
2022-03-05,45,Cycling,Power Zone,45 min Power Zone Max Ride,233,86,35%,86,23.71,17.78,147
2022-03-06,45,Cycling,Power Zone,45 min Power Zone Ride,250,93,40%,79,24.98,18.72,144
2022-03-08,60,Cycling,Power Zone,60 min Power Zone Ride,282,78,37%,78,22.82,22.82,135
2022-03-12,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,214,79,35%,84,23.25,17.45,132
2022-03-13,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,199,74,34%,86,22.61,16.96,139
2022-03-13,20,Cycling,Power Zone,20 min FTP Test Ride,100,84,36%,84,23.46,7.84,136
2022-03-15,10,Cycling,Power Zone,10 min FTP Warm Up Ride,45,75,34%,87,22.76,3.8,127
2022-03-15,20,Cycling,Power Zone,20 min FTP Test Ride,121,100,39%,85,26.06,8.69,145
2022-03-18,20,Cycling,Power Zone,20 min FTP Test Ride,120,100,38%,89,25.73,8.58,140
2022-03-19,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,214,79,35%,85,23.42,17.57,136
2022-03-28,45,Cycling,Power Zone,45 min Power Zone Ride,179,66,32%,87,21.52,16.14,119
