"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"83","2021-02-26","10:34","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min Pop Ride","2021-02-22 02:55 (-05)",100,83,"41%",62,21.87,7.29,207,148,NA,NA
"84","2021-02-27","10:20","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Pop Ride","2021-01-18 02:55 (-05)",134,74,"37%",67,21.37,10.69,320,151,NA,NA
"85","2021-03-01","10:29","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min HIIT Ride","2021-02-15 02:55 (-05)",81,90,"40%",67,24.12,6.04,171,157,NA,NA
"86","2021-03-02","10:31","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Pop Ride","2021-01-18 02:55 (-05)",150,83,"42%",61,22.32,11.15,310,148,NA,NA
"87","2021-03-02","11:04","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-02-26 01:35 (-05)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"88","2021-03-03","11:25","On Demand","Leanne Hainsby",20,"Cycling","Intervals","20 min HIIT Ride","2020-09-29 01:19 (-05)",97,81,"41%",56,20.49,6.84,212,150,NA,NA
"89","2021-03-05","9:14","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min HIIT Ride","2021-02-15 02:55 (-05)",80,88,"42%",63,23.69,5.92,158,149,NA,NA
"90","2021-03-05","9:34","On Demand","Hannah Corbin",10,"Strength","Barre","10 min Intro to Barre","2020-09-21 07:40 (-05)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"91","2021-03-05","9:35","On Demand","Ally Love",10,"Strength","Barre","10 min Barre","2020-09-21 07:50 (-05)",NA,NA,"",NA,NA,NA,15,NA,NA,NA
"92","2021-03-05","9:39","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 10:00 (-05)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"93","2021-03-06","9:41","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min Pop Ride","2021-02-22 02:55 (-05)",106,89,"42%",61,22.27,7.44,204,148,NA,NA
"94","2021-03-08","9:36","On Demand","Leanne Hainsby",20,"Cycling","Intervals","20 min Tabata Ride","2021-03-08 02:55 (-05)",113,94,"44%",55,21.81,7.27,223,154,NA,NA
"95","2021-03-09","11:13","On Demand","Leanne Hainsby",30,"Cycling","Theme","30 min WHM: Broadway Ride","2021-03-02 08:55 (-05)",162,90,"41%",65,22.74,11.38,353,160,NA,NA
"96","2021-03-09","11:56","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 10:00 (-05)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"97","2021-03-09","12:09","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-08 09:11 (-05)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"98","2021-03-09","12:23","On Demand","Kristin McGee",10,"Meditation","Mindfulness","10 min WHM: Intention Meditation","2021-03-08 08:45 (-05)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"99","2021-03-10","13:18","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min Pop Ride","2021-02-22 02:55 (-05)",105,87,"40%",68,23.06,7.69,217,154,NA,NA
"100","2021-03-10","13:41","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 10:00 (-05)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"101","2021-03-11","9:54","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min HIIT Ride","2021-02-15 02:55 (-05)",88,97,"44%",63,24.35,6.1,148,146,NA,NA
"102","2021-03-12","9:38","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Pop Ride","2021-03-09 08:55 (-05)",172,95,"41%",67,23.45,11.73,314,150,NA,NA
"103","2021-03-14","9:46","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min HIIT Ride","2021-02-15 03:55 (-04)",89,99,"44%",63,24.61,6.16,157,151,NA,NA
"104","2021-03-15","10:07","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min HIIT Ride","2021-02-15 03:55 (-04)",83,92,"41%",68,24.25,6.07,155,150,NA,NA
"105","2021-03-16","11:47","On Demand","Leanne Hainsby",20,"Cycling","Intervals","20 min Tabata Ride","2021-02-11 07:00 (-04)",114,95,"43%",57,21.89,7.31,197,146,NA,NA
"106","2021-03-16","12:12","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2019-08-19 06:32 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"107","2021-03-18","9:58","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min New Tracks Ride","2021-03-15 04:22 (-04)",118,98,"43%",65,24.11,8.05,197,144,NA,NA
"108","2021-03-20","9:57","On Demand","Leanne Hainsby",15,"Cycling","Intervals","15 min Tabata Ride","2020-03-06 03:32 (-04)",73,81,"38%",67,22.58,5.65,141,139,NA,NA
"109","2021-03-20","10:16","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 11:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"110","2021-03-21","9:53","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min New Tracks Ride","2021-03-15 04:22 (-04)",110,92,"42%",63,22.37,7.47,208,148,NA,NA
"111","2021-03-21","10:16","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 11:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"112","2021-03-22","9:17","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Pop Ride","2021-03-09 09:55 (-04)",175,97,"41%",67,23.45,11.73,317,150,NA,NA
"113","2021-03-22","9:51","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 11:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"114","2021-03-23","9:41","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-03-04 14:25 (-04)",167,93,"42%",62,22.69,11.35,296,144,NA,NA
"115","2021-03-23","10:17","On Demand","Selena Samuela",10,"Strength","Full Body","10 min Full Body Strength","2019-03-18 06:31 (-04)",NA,NA,"",NA,NA,NA,5,NA,NA,NA
"116","2021-03-23","10:20","On Demand","Selena Samuela",15,"Strength","Upper Body","15 min Chest & Back Strength","2019-06-19 16:16 (-04)",NA,NA,"",NA,NA,NA,87,NA,NA,NA
"117","2021-03-23","10:43","On Demand","Chelsea Jackson Roberts",10,"Meditation","Mindfulness","10 min WHM Celebration Meditation","2021-03-22 18:36 (-04)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"118","2021-03-25","9:39","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-03-04 14:25 (-04)",175,97,"43%",62,23.01,11.51,306,147,NA,NA
"119","2021-03-25","10:12","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 11:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"120","2021-03-26","9:45","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min Hip Hop Ride","2021-01-25 03:55 (-04)",119,99,"40%",70,23.74,7.92,195,143,NA,NA
"121","2021-03-26","10:08","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2018-10-09 08:32 (-04)",NA,NA,"",NA,NA,NA,57,NA,NA,NA
"122","2021-03-27","9:49","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2000s Ride","2020-07-11 04:50 (-04)",185,103,"44%",63,24.08,12.04,310,149,NA,NA
"123","2021-03-29","9:05","On Demand","Emma Lovewell",45,"Cycling","Music","45 min Red Hot Chili Peppers Ride","2019-07-24 18:18 (-04)",29,133,"42%",72,25.67,1.87,39,NA,NA,NA
"124","2021-03-29","9:14","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min New Tracks Ride","2021-03-15 04:22 (-04)",109,91,"43%",60,22.03,7.35,195,144,NA,NA
"125","2021-03-29","9:39","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2018-10-09 08:32 (-04)",NA,NA,"",NA,NA,NA,57,NA,NA,NA
"126","2021-03-30","10:59","Live","Leanne Hainsby",45,"Cycling","Music","45 min 2010s Ride","2021-03-23 09:55 (-04)",253,94,"41%",66,23.53,17.65,509,157,NA,NA
"127","2021-03-30","11:51","On Demand","Selena Samuela",20,"Strength","Upper Body","20 min Arms & Shoulders Strength","2020-11-25 11:00 (-04)",NA,NA,"",NA,NA,NA,116,NA,NA,NA
"128","2021-03-30","12:16","On Demand","Aditi Shah",10,"Meditation","Emotions","10 min Gratitude Meditation","2021-02-14 11:00 (-04)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"129","2021-03-31","12:50","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 90s Pop Ride","2021-03-25 14:55 (-04)",182,101,"40%",74,25.14,12.57,282,NA,NA,NA
"130","2021-03-31","13:23","On Demand","Leanne Hainsby",10,"Strength","Arms & Light Weights","10 min Arms & Light Weights","2021-03-19 02:35 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"131","2021-04-01","9:18","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2000s Pop Ride","2021-02-11 14:24 (-04)",171,96,"45%",58,22.39,11.06,265,137,NA,NA
"132","2021-04-03","9:36","On Demand","Hannah Frankson",15,"Cycling","Music","15 min 90s Ride","2019-11-11 06:00 (-04)",94,104,"43%",67,24.37,6.1,146,142,NA,NA
"133","2021-04-03","9:55","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-03-03 11:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"134","2021-04-04","10:32","On Demand","Leanne Hainsby",45,"Cycling","Music","45 min Pop Ride","2021-04-03 11:00 (-04)",241,89,"39%",69,22.68,17.01,459,148,NA,NA
"135","2021-04-04","11:22","On Demand","Ben Alldis",15,"Strength","Bodyweight","15 min Bodyweight Strength","2021-04-03 12:00 (-04)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"136","2021-04-04","11:27","On Demand","Selena Samuela",15,"Strength","Upper Body","15 min Chest & Back Strength","2019-06-19 16:16 (-04)",NA,NA,"",NA,NA,NA,87,NA,NA,NA
"137","2021-04-05","9:57","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Dance Music Ride","2021-04-01 13:25 (-04)",162,90,"42%",64,22.58,11.3,291,143,NA,NA
"138","2021-04-05","10:35","On Demand","Selena Samuela",20,"Strength","Upper Body","20 min Arms & Shoulders Strength","2020-11-25 11:00 (-04)",NA,NA,"",NA,NA,NA,116,NA,NA,NA
"139","2021-04-06","10:39","On Demand","Hannah Frankson",30,"Cycling","Music","30 min Little Mix Ride","2021-03-08 14:25 (-04)",171,95,"46%",57,22.53,11.27,307,148,NA,NA
"140","2021-04-07","10:22","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2000s Pop Ride","2020-09-23 09:30 (-04)",166,92,"44%",60,22.74,11.36,299,145,NA,NA
"141","2021-04-09","10:20","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2000s Ride","2021-04-03 13:00 (-04)",185,103,"45%",62,24.59,12.3,299,145,NA,NA
"142","2021-04-10","21:04","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 90s Ride","2021-04-07 08:55 (-04)",112,93,"38%",76,24.41,8.14,190,140,NA,NA
"143","2021-04-11","15:54","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-04-06 13:25 (-04)",187,104,"43%",68,25.28,12.65,304,147,NA,NA
"144","2021-04-12","20:44","On Demand","Leanne Hainsby",45,"Cycling","Music","45 min 2010s Ride","2021-02-18 14:24 (-04)",262,97,"43%",64,23.77,17.83,443,144,NA,NA
"145","2021-04-16","20:41","On Demand","Hannah Frankson",45,"Cycling","Music","45 min 2010s Ride","2021-02-20 05:00 (-04)",210,78,"39%",67,22.11,16.59,359,128,NA,NA
"146","2021-04-18","11:02","On Demand","Hannah Frankson",20,"Cycling","Music","20 min 2000s Pop Ride","2021-04-10 03:42 (-04)",111,93,"46%",58,23.53,7.84,180,136,NA,NA
"147","2021-04-20","21:09","On Demand","Hannah Frankson",30,"Cycling","Music","30 min Pop Ride","2021-04-12 13:25 (-04)",178,99,"45%",60,23.29,11.65,297,144,NA,NA
"148","2021-04-22","12:42","On Demand","Hannah Frankson",45,"Cycling","Music","45 min 2010s Ride","2021-04-19 13:25 (-04)",214,79,"39%",66,21.45,16.09,484,152,NA,NA
"149","2021-04-22","17:29","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-04-17 04:25 (-04)",160,89,"42%",63,22.14,11.07,305,148,NA,NA
"150","2021-04-22","18:02","On Demand","Hannah Frankson",10,"Strength","Arms & Light Weights","10 min Arms & Light Weights","2021-04-09 09:32 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"151","2021-04-24","20:51","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-04-17 04:25 (-04)",164,91,"44%",58,21.77,10.9,279,139,NA,NA
"152","2021-04-25","20:42","On Demand","Leanne Hainsby",45,"Cycling","Music","45 min Pop Ride","2021-04-25 06:55 (-04)",239,89,"42%",60,21.81,16.37,423,141,NA,NA
"153","2021-04-27","9:47","On Demand","Leanne Hainsby",45,"Cycling","Music","45 min Pop Ride","2021-04-25 06:55 (-04)",234,87,"44%",56,21.65,16.24,418,140,NA,NA
"154","2021-04-29","14:14","On Demand","Hannah Frankson",45,"Cycling","Music","45 min Pop Ride","2021-03-27 06:55 (-04)",245,91,"44%",61,22.66,16.99,483,153,NA,NA
"155","2021-04-30","21:31","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min Pop Ride","2021-04-30 07:25 (-04)",164,91,"40%",70,23.63,11.81,296,144,NA,NA
"156","2021-05-02","12:15","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-05-01 05:55 (-04)",171,95,"43%",61,22.88,11.44,322,152,NA,NA
"157","2021-05-02","12:55","On Demand","Hannah Frankson",5,"Cycling","Warm Up/Cool Down","5 min AT's Ride to Greatness: Warm Up","2021-04-30 09:00 (-04)",18,60,"27%",91,19.79,1.67,43,137,NA,NA
"158","2021-05-02","13:14","On Demand","Jess King",30,"Cycling","Music","30 min The Weeknd Ride","2020-08-26 19:19 (-04)",150,83,"38%",72,22.06,11.04,295,144,NA,NA
"159","2021-05-04","20:46","On Demand","Ally Love",30,"Cycling","Theme","30 min Feel Good Ride","2021-05-02 11:51 (-04)",175,97,"44%",64,24.45,12.23,292,143,NA,NA
"160","2021-05-06","16:50","Live","Ally Love",30,"Cycling","Theme","30 min Feel Good Ride","2021-05-02 11:51 (-04)",0,0,"0%",0,0,0,0,NA,NA,NA
"161","2021-05-06","16:50","Live","Ally Love",30,"Cycling","Theme","30 min Feel Good Ride","2021-05-02 11:51 (-04)",0,0,"0%",0,0,0,0,NA,NA,NA
"162","2021-05-06","16:49","On Demand","Ally Love",30,"Cycling","Theme","30 min Feel Good Ride","2021-05-02 11:51 (-04)",170,95,"40%",71,24.37,12.07,318,152,NA,NA
"163","2021-05-08","17:39","Live","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-05-05 10:00 (-04)",166,92,"40%",71,23.43,11.72,305,148,NA,NA
"164","2021-05-10","11:29","Live","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-05-08 04:25 (-04)",162,90,"45%",57,21.68,10.85,273,138,NA,NA
"165","2021-05-11","16:38","On Demand","Hannah Frankson",30,"Cycling","Music","30 min Pop Ride","2021-05-10 13:25 (-04)",177,98,"43%",62,22.76,11.38,293,143,NA,NA
"166","2021-05-12","16:34","On Demand","Hannah Frankson",45,"Cycling","Music","45 min Pop Ride","2021-03-27 06:55 (-04)",242,89,"46%",56,21.13,15.85,424,142,NA,NA
"167","2021-05-12","17:25","On Demand","Jess Sims",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-05-10 10:00 (-04)",NA,NA,"",NA,NA,NA,64,NA,NA,NA
"168","2021-05-13","16:48","On Demand","Leanne Hainsby",20,"Cycling","Theme","20 min APIHM Celebration Ride","2021-05-11 08:55 (-04)",114,95,"44%",60,23.09,7.71,172,133,NA,NA
"169","2021-05-13","17:14","On Demand","Hannah Frankson",20,"Cycling","Music","20 min Pop Ride","2021-05-13 14:00 (-04)",110,92,"39%",75,23.87,7.95,199,145,NA,NA
"170","2021-05-13","17:38","On Demand","Rebecca Kennedy",10,"Strength","Upper Body","10 min Upper Body Strength","2021-05-11 10:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"171","2021-05-18","18:48","On Demand","Ally Love",30,"Cycling","Music","30 min 90s Ride","2021-05-13 07:50 (-04)",136,76,"42%",57,21.03,10.53,256,133,NA,NA
"172","2021-05-18","19:42","On Demand","Hannah Frankson",30,"Cycling","Music","30 min EDM Ride","2021-05-17 13:24 (-04)",238,132,"45%",73,28.73,14.37,293,134.31,NA,NA
"173","2021-05-19","19:35","On Demand","Hannah Frankson",30,"Cycling","Music","30 min EDM Ride","2021-05-17 13:24 (-04)",167,93,"41%",70,24.04,12.02,291,143,NA,NA
"174","2021-05-20","17:29","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-05-05 10:00 (-04)",162,90,"44%",62,23.09,11.56,280,139,NA,NA
"175","2021-05-22","13:31","On Demand","Hannah Frankson",45,"Cycling","Music","45 min Pop Ride","2021-03-27 06:55 (-04)",239,89,"44%",61,22.27,16.7,467,150,NA,NA
"176","2021-05-24","18:49","On Demand","Leanne Hainsby",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2021-05-24 01:10 (-04)",146,81,"38%",68,22.64,11.33,245,131,NA,NA
"177","2021-05-27","16:42","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2000s Pop Ride","2021-05-26 12:25 (-04)",159,88,"42%",60,22.53,11.27,246,NA,NA,NA
"178","2021-06-14","19:39","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2021-06-09 12:25 (-04)",165,92,"40%",54,22.34,11.17,306,147,NA,NA
"179","2021-06-15","20:32","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-06-11 08:55 (-04)",154,86,"38%",55,21.42,10.72,279,139,NA,NA
"180","2021-06-19","20:31","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-06-11 08:55 (-04)",170,94,"35%",67,23.79,11.89,300,145,NA,NA
"181","2021-06-24","11:18","On Demand","Hannah Frankson",20,"Cycling","Music","20 min Pop Ride","2021-06-04 13:00 (-04)",110,92,"38%",58,22.93,7.64,189,142,NA,NA
"182","2021-06-25","10:31","On Demand","Hannah Frankson",20,"Cycling","Music","20 min Pop Ride","2021-06-04 13:00 (-04)",104,87,"37%",59,23.01,7.68,181,137,NA,NA
"183","2021-06-27","10:03","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min New Tracks Ride","2021-06-15 08:55 (-04)",103,86,"40%",53,22,7.34,167,132,NA,NA
"184","2021-06-28","19:55","On Demand","Hannah Frankson",20,"Cycling","Music","20 min Hip Hop Ride","2021-06-23 14:55 (-04)",101,84,"37%",59,22.21,7.42,177,135,NA,NA
"185","2021-08-17","14:39","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 90s Pop Ride","2021-08-10 08:55 (-04)",103,86,"37%",56,22.39,7.47,200,144,NA,NA
"186","2021-08-17","15:07","On Demand","Selena Samuela",20,"Strength","Full Body","20 min Full Body Strength","2021-06-11 10:00 (-04)",NA,NA,"",NA,NA,NA,115,NA,NA,NA
"187","2021-08-17","15:31","On Demand","Chelsea Jackson Roberts",5,"Yoga","Restorative","5 min Savasana","2021-08-17 10:00 (-04)",NA,NA,"",NA,NA,NA,6,NA,NA,NA
"188","2021-08-25","19:50","On Demand","Hannah Frankson",30,"Cycling","Music","30 min 2010s Ride","2021-08-16 13:25 (-04)",161,90,"38%",55,22.79,11.39,296,145,NA,NA
"189","2021-09-02","10:32","On Demand","Matt Wilpers",15,"Cycling","Power Zone","15 min Intro to Power Zone Ride","2020-12-23 11:00 (-04)",83,93,"29%",76,24.91,6.23,129,NA,NA,NA
"190","2021-09-02","10:51","On Demand","Matt Wilpers",20,"Cycling","Power Zone","20 min Power Zone Beginner Ride","2021-01-02 10:00 (-04)",100,83,"28%",74,23.54,7.85,209,149,NA,NA
"191","2021-09-02","11:18","On Demand","Matt Wilpers",15,"Cycling","Power Zone","15 min Intro to Power Zone Ride","2020-12-23 11:00 (-04)",69,77,"28%",73,22.45,5.62,157,148,NA,NA
"192","2021-09-02","11:36","On Demand","Matt Wilpers",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2021-08-16 09:00 (-04)",15,49,"21%",78,18.52,1.56,43,136,NA,NA
"193","2021-09-02","11:47","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"194","2021-09-02","12:02","On Demand","Matty & Olivia ",30,"Strength","Bodyweight","30 min Bodyweight Strength","2021-04-23 17:49 (-04)",NA,NA,"",NA,NA,NA,173,NA,NA,NA
"195","2021-09-02","12:34","On Demand","Matty Maggiacomo",10,"Stretching","Full Body Stretch","10 min Full Body Stretch","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,29,NA,NA,NA
"196","2021-09-02","12:46","On Demand","Selena Samuela",10,"Strength","Upper Body","10 min Arms & Shoulders Strength","2021-08-25 10:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"197","2021-09-03","10:53","On Demand","Denis Morton",10,"Cycling","Power Zone","10 min FTP Warm Up Ride","2021-02-13 13:00 (-04)",53,88,"31%",68,23.24,3.88,96,141,NA,NA
"198","2021-09-03","11:04","On Demand","Denis Morton",20,"Cycling","Power Zone","20 min FTP Test Ride","2021-02-27 15:00 (-04)",112,93,"31%",70,24,8,219,154,NA,NA
"199","2021-09-03","11:30","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"200","2021-09-12","11:36","On Demand","Matt Wilpers",30,"Cycling","Power Zone","30 min Power Zone Hip Hop Ride","2021-03-09 14:00 (-04)",172,95,"37%",60,24.22,12.12,296,143,NA,NA
"201","2021-09-12","12:08","On Demand","Matt Wilpers",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2021-08-16 09:00 (-04)",18,61,"21%",87,20.76,1.72,44,137,NA,NA
"202","2021-09-12","12:18","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"203","2021-09-12","12:31","On Demand","Matty Maggiacomo",30,"Strength","Bodyweight","30 min Bodyweight Strength","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,173,NA,NA,NA
"204","2021-09-12","13:22","On Demand","Matty Maggiacomo",10,"Stretching","Full Body Stretch","10 min Full Body Stretch","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,29,NA,NA,NA
"205","2021-09-14","6:57","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"206","2021-09-14","7:08","On Demand","Olivia Amato",30,"Strength","Bodyweight","30 min Bodyweight Strength","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,173,NA,NA,NA
"207","2021-09-14","7:41","On Demand","Matty Maggiacomo",10,"Stretching","Full Body Stretch","10 min Full Body Stretch","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,29,NA,NA,NA
"208","2021-09-26","20:05","On Demand","Denis Morton",45,"Cycling","Power Zone","45 min Power Zone Ride","2021-02-09 12:19 (-04)",229,85,"36%",75,23.06,17.3,483,151,NA,NA
"209","2021-09-26","20:52","On Demand","Denis Morton",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2021-09-20 09:00 (-04)",19,62,"28%",85,20.41,1.71,52,150,NA,NA
"210","2021-09-26","21:01","On Demand","Denis Morton",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-05-21 09:00 (-04)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"211","2021-09-26","21:08","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 09:00 (-04)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"212","2021-12-20","8:32","On Demand","Matt Wilpers",15,"Cycling","Power Zone","15 min Intro to Power Zone Ride","2020-12-23 10:00 (-05)",61,67,"34%",74,21.5,5.38,114,124,NA,NA
"213","2021-12-20","8:51","On Demand","Matt Wilpers",20,"Cycling","Power Zone","20 min Power Zone Beginner Ride","2021-01-02 09:00 (-05)",74,62,"33%",72,20.18,6.73,176,135,NA,NA
"214","2021-12-20","9:13","On Demand","Matt Wilpers",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2021-08-16 08:00 (-05)",18,60,"30%",81,20.25,1.69,45,138,NA,NA
"215","2021-12-20","9:20","On Demand","Matt Wilpers",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-08-16 08:00 (-05)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"216","2022-01-05","9:04","On Demand","Matt Wilpers",15,"Cycling","Power Zone","15 min Intro to Power Zone Ride","2020-12-23 10:00 (-05)",73,82,"35%",78,23.59,5.91,128,131,NA,NA
"217","2022-01-05","9:23","On Demand","Matt Wilpers",20,"Cycling","Power Zone","20 min Power Zone Beginner Ride","2021-01-02 09:00 (-05)",87,73,"32%",83,22.45,7.48,193,142,NA,NA
"218","2022-01-05","9:46","On Demand","Matt Wilpers",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2021-08-16 08:00 (-05)",17,55,"30%",78,19.34,1.64,39,128,NA,NA
"219","2022-01-05","9:53","On Demand","Matt Wilpers",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-08-16 08:00 (-05)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"220","2022-01-05","10:23","On Demand","Olivia Amato",10,"Strength","Warm Up","10 min Full Body Strength Warm Up","2021-04-23 08:00 (-05)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"221","2022-01-05","10:34","On Demand","Matty & Olivia ",30,"Strength","Bodyweight","30 min Bodyweight Strength","2021-04-23 16:49 (-05)",NA,NA,"",NA,NA,NA,173,NA,NA,NA
"222","2022-01-06","9:59","On Demand","Denis Morton",10,"Cycling","Power Zone","10 min FTP Warm Up Ride","2021-02-13 12:00 (-05)",45,74,"32%",81,21.98,3.67,86,131,NA,NA
"223","2022-01-06","10:11","On Demand","Denis Morton",20,"Cycling","Power Zone","20 min FTP Test Ride","2021-02-27 14:00 (-05)",95,79,"36%",74,23.11,7.71,211,150,NA,NA
