"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"361","2022-03-13","15:50","On Demand","Andy Speer",45,"Strength","Full Body","45 min Full Body Strength","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,252,NA,NA,NA
"362","2022-03-13","16:38","On Demand","Andy Speer",10,"Stretching","Full Body Stretch","10 min Stretch","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,28,NA,NA,NA
"363","2022-03-15","12:08","On Demand","Matt Wilpers",10,"Cycling","Power Zone","10 min FTP Warm Up Ride","2021-04-23 09:00 (-04)",45,75,"34%",87,22.76,3.8,76,127,NA,NA
"364","2022-03-15","12:19","On Demand","Matt Wilpers",20,"Cycling","Power Zone","20 min FTP Test Ride","2021-04-23 09:00 (-04)",121,100,"39%",85,26.06,8.69,195,145,NA,NA
"365","2022-03-15","12:45","On Demand","Andy Speer",10,"Strength","Warm Up","10 min Warm Up","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,56,NA,NA,NA
"366","2022-03-15","12:56","On Demand","Andy Speer",30,"Strength","Full Body","30 min Full Body Strength","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,168,NA,NA,NA
"367","2022-03-15","13:33","On Demand","Andy Speer",10,"Stretching","Full Body Stretch","10 min Stretch","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,28,NA,NA,NA
"368","2022-03-18","12:56","On Demand","Matt Wilpers",20,"Cycling","Power Zone","20 min FTP Test Ride","2021-04-23 09:00 (-04)",120,100,"38%",89,25.73,8.58,188,140,NA,NA
"369","2022-03-18","13:41","On Demand","Andy Speer",45,"Strength","Full Body","45 min Full Body Strength","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,252,NA,NA,NA
"370","2022-03-18","14:39","On Demand","Andy Speer",30,"Strength","Full Body","30 min Full Body Strength","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,168,NA,NA,NA
"371","2022-03-19","13:07","On Demand","Matt Wilpers",45,"Cycling","Power Zone","45 min Power Zone Endurance Ride","2021-04-23 09:00 (-04)",214,79,"35%",85,23.42,17.57,398,136,NA,NA
"372","2022-03-19","13:55","On Demand","Andy Speer",10,"Strength","Warm Up","10 min Warm Up","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,56,NA,NA,NA
"373","2022-03-19","14:06","On Demand","Andy Speer",45,"Strength","Full Body","45 min Full Body Strength","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,363,130.23,NA,NA
"374","2022-03-19","14:59","On Demand","Andy Speer",10,"Stretching","Full Body Stretch","10 min Stretch","2021-12-20 11:00 (-04)",NA,NA,"",NA,NA,NA,28,NA,NA,NA
"375","2022-03-28","9:29","On Demand","Denis Morton",45,"Cycling","Power Zone","45 min Power Zone Ride","2021-04-23 09:00 (-04)",179,66,"32%",87,21.52,16.14,305,119,NA,NA
"376","2022-03-28","10:24","On Demand","Andy Speer",10,"Strength","Warm Up","10 min Strength-Focus Warm Up","2019-12-10 12:00 (-04)",NA,NA,"",NA,NA,NA,56,NA,NA,NA
"377","2022-03-28","10:43","On Demand","Andy Speer",30,"Strength","Upper Body","30 min Upper Body Strength","2019-12-10 12:00 (-04)",NA,NA,"",NA,NA,NA,170,NA,NA,NA
"378","2022-03-28","11:21","On Demand","Andy Speer",10,"Stretching","Full Body Stretch","10 min Post-Strength Stretch","2019-12-10 12:10 (-04)",NA,NA,"",NA,NA,NA,28,NA,NA,NA
